#1003519630903009999  22-99999 99300   121    20-99999-99999 74915  2443-99999-99999-99999-99999-99999-99999-99999-99999-99999-99999-99999-99999
 100800      48      48    2854     161    2847     274  -99999  -99999  -99999   14269  -99999  -99999  -99999  -99999  -99999  -99999  -99999
 100000     110     115    2864     169    2864     254  -99999  -99999  -99999   15235  -99999  -99999      21      25      56      29  -99999
  99300     169     169    2874     -25    2879      74  -99999  -99999  -99999   16259  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  96000     452     453    2867     -35    2900      64  -99999  -99999  -99999   15534  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  90600     936     936    2850    -103    2931      -7  -99999  -99999  -99999   13893  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  87500    1227    1225    2820     -83    2929      17  -99999  -99999  -99999   11368  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  85000    1469    1465    2800     -67    2933      33  -99999  -99999  -99999    9918  -99999  -99999      55  -99999      95  -99999  -99999
  73800  -99999    2611    2724  -99999    2971  -99999  -99999  -99999  -99999    5785  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  50000    5627    5605    2534     -64    3089      42  -99999  -99999  -99999    1281  -99999  -99999       0     -35     230      52  -99999
  40000    7248    7247    2430     -75    3157      30  -99999  -99999  -99999     502  -99999  -99999     -56       1     315      -5  -99999
  30000    9238    9230    2280  -99999    3216  -99999  -99999  -99999  -99999     110  -99999  -99999     -54  -99999     305  -99999  -99999
  20000   11909   11944    2284      -4    3618     156  -99999  -99999  -99999     114  -99999  -99999       0      27     190     -26  -99999
  15000   13828   13828    2277     -16    3917     149  -99999  -99999  -99999     106  -99999  -99999      51  -99999     141  -99999  -99999
  10000   16499   16503    2234     -22    4315     146  -99999  -99999  -99999      66  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   9200   17046   17042    2222      82    4395     360  -99999  -99999  -99999      57  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   8700   17413   17412    2252     -11    4527     181  -99999  -99999  -99999      80  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   7000   18840   18840    2237     -25    4785     159  -99999  -99999  -99999      68  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   6000   19844   19843    2212       8    4945     243  -99999  -99999  -99999      51  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   5000   21031   21026    2222     -24    5233     177  -99999  -99999  -99999      57  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   4400   21856   21858    2202       8    5379     274  -99999  -99999  -99999      45  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   3000   24329   24334    2222       0    6056     275  -99999  -99999  -99999      57  -99999  -99999  -99999  -99999  -99999  -99999  -99999
   2400  -99999   25779    2222  -99999    6455  -99999  -99999  -99999  -99999      57  -99999  -99999  -99999  -99999  -99999  -99999  -99999
#1003519630906009999  24-99999 99600    81    23-99999-99999 75100  2384-99999-99999-99999-99999-99999-99999-99999-99999-99999-99999-99999-99999
 100600      48      48    2834     277    2829     383  -99999  -99999  -99999   12496  -99999  -99999  -99999  -99999  -99999  -99999  -99999
 100000      95      98    2847     294    2847     382  -99999  -99999  -99999   13624  -99999  -99999      39      23       7      -5  -99999
  99600     129     128    2857     -75    2860      24  -99999  -99999  -99999   14552  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  92300     758     760    2810     -41    2875      56  -99999  -99999  -99999   10623  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  88800    1077    1075    2797     -75    2893      22  -99999  -99999  -99999    9716  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  85000    1439    1433    2770     -76    2901      24  -99999  -99999  -99999    8050  -99999  -99999      70      -6       0      22  -99999
  82800    1649    1651    2754     -24    2906      79  -99999  -99999  -99999    7186  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  75800    2358    2358    2737     -67    2962      33  -99999  -99999  -99999    6359  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  70000    2996    2990    2694     -66    2983      38  -99999  -99999  -99999    4632  -99999  -99999      61       9      35      14  -99999
  56600    4619    4637    2587     -71    3044      30  -99999  -99999  -99999    2000  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  50000    5566    5545    2520     -72    3072      31  -99999  -99999  -99999    1135  -99999  -99999      84      24      71      20  -99999
  41900    6850    6845    2427     -39    3112      74  -99999  -99999  -99999     488  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  40000    7187    7179    2414     -40    3137      77  -99999  -99999  -99999     431  -99999  -99999     123       1     103      57  -99999
  36700    7784    7792    2390     -72    3183      34  -99999  -99999  -99999     341  -99999  -99999  -99999  -99999  -99999  -99999  -99999
  30000    9180    9164    2290     -72    3231      38  -99999  -99999  -99999     122  -99999  -99999     125  -99999     217  -99999  -99999
  27000    9873    9878    2240     -35    3257      89  -99999  -99999  -99999      70  -99999  -99999  -99999  -99999  -99999  -99999  -99999
